id,name,mlabel_id,slabel_id,latitude,longitude,eat_in
266,泰品泰式雲南料理,7,9,25.0159783,121.5311988,TRUE
267,豪季水餃專賣店 (汀州店),1,15,25.0160602,121.531107,TRUE
268,池姐姐 新馬泰料理,7,5,25.0160603,121.5310876,TRUE
269,尚家香雲南美味麵食館,1,2,25.0161547,121.5309498,TRUE
270,池上木片便當汀州店,1,10,25.0160039,121.530676,TRUE
271,匠十三滷肉飯,1,5,25.0158548,121.5308682,TRUE
272,香鄉麵食館,1,2,25.0162163,121.5308817,TRUE
273,人从众 台北公館店,8,4,25.016405,121.5306139,TRUE
274,深夜未歸-公館店,12,1,25.0164363,121.5305416,TRUE
275,汀州路麵線,1,2,25.0164513,121.5304663,TRUE
276,拉亞漢堡 北市汀州三總,9,1,25.0165844,121.5304255,TRUE
277,晨間廚房早午餐中正台大店/蛋餅/早餐/麵/公館美食,9,1,25.0165377,121.5306508,TRUE
278,Mr. 雪腐 公館店,3,3,25.0166544,121.5304567,TRUE
279,擱再來海鮮快炒店,1,5,25.0166118,121.5306901,TRUE
280,Este día 這一天異國廚房 古巴三明治（台北總店）,13,3,25.0167308,121.5305679,TRUE
281,延三溫體牛—黃記,1,5,25.0167759,121.530622,TRUE
282,Lazy徠集手工法式甜點公館店,3,6,25.0168342,121.532618,FALSE
283,阿布都中東清真料理Abdu Arabian Cuisine,13,4,25.0167855,121.5327968,TRUE
284,瓦崎燒烤火鍋 公館店－火烤兩吃 燒烤燒肉 火鍋 吃到飽 生啤無限暢飲 聚餐 老字號湯頭 麻辣湯底 哈根達斯 推薦 好評 高CP值 好吃 價格 頂級火鍋 網紅網友首選 優質,1,8,25.0167658,121.5329196,TRUE
285,宮綺火鍋-大安熱門火鍋|公館特色火鍋|人氣火鍋|海鮮火鍋|平價火鍋|在地推薦火鍋|麻辣火鍋|大份量主餐火鍋,1,8,25.016808,121.532849,TRUE
286,雲香亭,7,2,25.0168676,121.532937,TRUE
287,Popeyes Chicken 台大公館店,10,2,25.0170553,121.5323589,TRUE
288,埃及沙威瑪王,13,1,25.0171503,121.5321311,TRUE
289,すき家公館,5,9,25.0174029,121.5319597,TRUE
290,一之軒 公館店,3,6,25.0178055,121.5314915,FALSE
291,莉莎小姐義式冰淇淋Gelateria da Lisa,3,3,25.0179467,121.5312521,FALSE
292,小鹿亭,5,13,25.0181622,121.5311302,TRUE
293,小原田日本料理 公館店,5,13,25.0182433,121.5311009,TRUE
294,孫東寶牛排大安羅斯福店,8,4,25.0182539,121.531046,TRUE
295,ト乘輕食滷味 新生南店,1,13,25.0175762,121.5332365,TRUE
296,Sushi Express NTU Branch,5,8,25.018011,121.5333137,TRUE
297,麥當勞-台北新生餐廳,10,3,25.01821,121.5333445,TRUE
298,Pain de KAI 可為烘焙 台大店/公館麵包/可麗露禮盒,3,6,25.018893,121.533486,FALSE
299,臺一牛奶大王,3,3,25.0189836,121.5335137,TRUE
300,光一肆號,2,2,25.0192483,121.5335505,TRUE
301,豬ㄟ早午餐,9,1,25.0194869,121.5335257,TRUE
302,鳳城燒臘粵菜,1,4,25.0202791,121.5338184,TRUE
303,大聲公 台大牛肉麵店,1,9,25.0206671,121.5338691,TRUE
304,小林阿盛壽司,5,8,25.0170754,121.5325192,TRUE
305,上賀麵食館,1,5,25.0171498,121.5325444,TRUE
306,金湯匙豆花坊 素養生蔬食,6,5,25.0171946,121.5325599,TRUE
307,小飯廳,1,1,25.0172234,121.5325649,TRUE
308,七里亭,1,1,25.017334,121.532586,TRUE
309,豪香熱炒,1,5,25.017332,121.532767,TRUE
310,皇牌正港味餐廳（公館店）,1,4,25.0173595,121.5327958,TRUE
311,Chillken,8,1,25.017348,121.532916,TRUE
312,俄羅斯城堡,15,1,25.017511,121.5325407,TRUE
313,梁社漢排骨-台大店,1,10,25.0175705,121.5328296,TRUE
314,八方雲集 (台大店),1,15,25.0175507,121.5327969,TRUE
315,福樂素食/原中一蔬食園臺大店,6,5,25.017659,121.532571,TRUE
316,好處餐酒館,2,2,25.0184093,121.5328582,TRUE
317,長樂拉麵,5,5,25.0188978,121.5329637,TRUE
318,瑪莉珍比薩 台大店,2,1,25.019024,121.53294,TRUE
319,韓庭州韓國料理,11,3,25.019137,121.53294,TRUE
